Diagnosis (Visit Reason)	ICD-10	Standard Name
High grade B-cell lymphoma	C85.1	
Colon cancer	C18.9	Malignant neoplasm of colon, unspecified
Coronary artery disease	I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris
Lung mass	R91.8	Other nonspecific abnormal finding of lung field
Diffuse large B-cell lymphoma	C83.3	
Gastric adenocarcinoma	C16.9	Malignant neoplasm of stomach, unspecified
Osteoarthritis of hip	M16.9	Osteoarthritis of hip, unspecified
Pancreatic cancer	C25.9	Malignant neoplasm of pancreas, unspecified
Pancreatic adenocarcinoma	C25.0	Malignant neoplasm of head of pancreas
Colon adenocarcinoma	C18.9	Malignant neoplasm of colon, unspecified
Adenocarcinoma of colon	C18.9	Malignant neoplasm of colon, unspecified
Community acquired pneumonia - moderate risk	J18.9	Pneumonia, unspecified organism
Recurrent tonsillitis	J35.0	
T/C Pneumonia - moderate risk	J18.9	Pneumonia, unspecified organism
Complicated urinary tract infection	N39.0	Urinary tract infection, site not specified
Lumbar spondylosis	M47.817	Spondylosis without myelopathy or radiculopathy, lumbosacral region
Breast cancer	C50.9	
Prostate cancer	C61	Malignant neoplasm of prostate
Electrolyte imbalance	E87.8	Other disorders of electrolyte and fluid balance, not elsewhere classified
Obstructive uropathy	N13.30	Unspecified hydronephrosis
Pancreatic cancer	C25.9	Malignant neoplasm of pancreas, unspecified
Systemic lupus erythematosus	M32.9	Systemic lupus erythematosus, unspecified
Tibial fracture	S82.20XA	
Diverticulosis	K57.30	Diverticulosis of large intestine without perforation or abscess without bleeding
Ascites	R18.8	Other ascites
Lung cancer	C34.90	Malignant neoplasm of unspecified part of unspecified bronchus or lung
Strain, back	S39.012A	Strain of muscle, fascia and tendon of lower back, initial encounter
Multiple myeloma	C90.0	
Gastric adenocarcinoma	C16.9	Malignant neoplasm of stomach, unspecified
SLE (systemic lupus erythematosus)	M32.9	Systemic lupus erythematosus, unspecified
Squamous cell carcinoma of tongue	C02.0	Malignant neoplasm of dorsal surface of tongue
Obstructive jaundice due to malignant neoplasm	C24.0	Malignant neoplasm of extrahepatic bile duct
Lower gastrointestinal bleeding	K92.2	Gastrointestinal hemorrhage, unspecified
Rectal adenocarcinoma	C20	Malignant neoplasm of rectum
Guillain-Barré syndrome	G61.0	Guillain-Barre syndrome
Gastroesophageal junction adenocarcinoma Stage IV	C16.0	Malignant neoplasm of cardia
Ascites, malignant	R18.0	Malignant ascites
Community acquired pneumonia - moderate risk	J18.9	Pneumonia, unspecified organism
CAP (community acquired pneumonia) - moderate risk	J18.9	Pneumonia, unspecified organism
Multiple pulmonary nodules	R91.8	Other nonspecific abnormal finding of lung field
Heart failure	I50.9	Heart failure, unspecified
Chronic pancreatitis	K86.1	Other chronic pancreatitis
Acute lymphoblastic leukemia (ALL)	C91.0	
Hypoglycemia	E16.2	Hypoglycemia, unspecified
Gastric adenocarcinoma	C16.9	Malignant neoplasm of stomach, unspecified
DLC	C83.3	
Papillary thyroid carcinoma	C73	Malignant neoplasm of thyroid gland
Cellulitis of lower extremity	L03.115	Cellulitis of right lower limb
Atypical chest pain	R07.89	Other chest pain
Abdominal aortic aneurysm (AAA)	I71.4	
Hypothyroidism (acquired)	E03.9	Hypothyroidism, unspecified
Spindle cell sarcoma	C49.9	Malignant neoplasm of connective and soft tissue, unspecified
Bell's palsy	G51.0	Bell's palsy
Dengue fever	A90	Dengue fever [classical dengue]
Acute promyelocytic leukemia	C92.4	
Acute Monocytic Leukemia	C93.0	
Pancreatic cancer	C25.9	Malignant neoplasm of pancreas, unspecified
Pre B-cell acute lymphoblastic leukemia (ALL)	C91.0	
Chemotherapy follow-up examination	Z08	Encounter for follow-up examination after completed treatment for malignant neoplasm
Acute lymphoblastic leukemia (ALL) in adult	C91.0	
Adenocarcinoma of pancreas, stage 2	C25.0	Malignant neoplasm of head of pancreas
Granulosa cell tumor	C56.9	Malignant neoplasm of unspecified ovary
Acute appendicitis	K35.80	Unspecified acute appendicitis
Cancer of lung	C34.90	Malignant neoplasm of unspecified part of unspecified bronchus or lung
Upper gastrointestinal bleeding	K92.2	Gastrointestinal hemorrhage, unspecified
Dengue fever with warning signs	A91	Dengue hemorrhagic fever
Dengue fever	A90	Dengue fever [classical dengue]
Adenocarcinoma of pancreas, stage 2	C25.0	Malignant neoplasm of head of pancreas
Colon adenocarcinoma	C18.9	Malignant neoplasm of colon, unspecified
Squamous cell carcinoma of oropharynx	C10.9	Malignant neoplasm of oropharynx, unspecified
Breast cancer	C50.9	
Community acquired pneumonia - moderate risk	J18.9	Pneumonia, unspecified organism
Breast neoplasm	D48.6	
DLC	C83.3	
URTI (acute upper respiratory infection)	J06.9	Acute upper respiratory infection, unspecified
Primary cutaneous lymphoma	C84.0	
Leiomyosarcoma	C49.1	
Colon adenocarcinoma	C18.9	Malignant neoplasm of colon, unspecified
SLE (systemic lupus erythematosus)	M32.9	Systemic lupus erythematosus, unspecified
Perianal abscess	K61.2	Anorectal abscess
Donor of stem cell	Z52.0	
Obesity Class III (BMI 38), Pre-diabetes, Obstructive Sleep Apnea, Dyslipidemia, GERD, Fatty Liver Disease	E66.01	Morbid (severe) obesity due to excess calories
Signet-ring cell carcinoma of stomach	C16.0	Malignant neoplasm of cardia
Pneumonia	J18.9	Pneumonia, unspecified organism
Cervical carcinoma	C53.9	Malignant neoplasm of cervix uteri, unspecified
Gastric adenocarcinoma	C16.9	Malignant neoplasm of stomach, unspecified
Nasopharyngeal carcinoma	C11.9	Malignant neoplasm of nasopharynx, unspecified
CNS lymphoma	C83.3	
DSC	C83.3	
B-cell acute lymphoblastic leukemia (ALL)	C91.0	
Atrial fibrillation	I48.91	Unspecified atrial fibrillation
DLBCL (diffuse large B cell lymphoma)	C83.3	
Hematuria	R31.9	Hematuria, unspecified
Sepsis	A41.9	Sepsis, unspecified organism
Dengue fever	A90	Dengue fever [classical dengue]
Gastritis	K29.70	Gastritis, unspecified, without bleeding
Dengue fever	A90	Dengue fever [classical dengue]
Pneumonia	J18.9	Pneumonia, unspecified organism
Coronary artery disease	I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris
Cancer of parotid gland	C07	Malignant neoplasm of parotid gland
Appendicitis, acute	K35.80	Unspecified acute appendicitis
Closed fracture of neck of right femur	S72.001A	Fracture of unspecified part of neck of right femur, initial encounter for closed fracture
Chronic cholecystitis with calculus	K81.1	Chronic cholecystitis
Breast cancer	C50.9	
Colon adenocarcinoma	C18.9	Malignant neoplasm of colon, unspecified
Endometrial carcinoma	C54.1	Malignant neoplasm of endometrium
B-cell lymphoma	C85.1	
Gastric adenocarcinoma	C16.9	Malignant neoplasm of stomach, unspecified
Upper respiratory tract infection	J06.9	Acute upper respiratory infection, unspecified
Osteoarthritis of knee	M17.9	Osteoarthritis of knee, unspecified
Multiple myeloma	C90.0	
Diverticulitis	K57.32	Diverticulitis of large intestine without perforation or abscess without bleeding
Gastric adenocarcinoma	C16.9	Malignant neoplasm of stomach, unspecified
Lipoma	D17.9	Benign lipomatous neoplasm, unspecified
Pancreatic adenocarcinoma	C25.0	Malignant neoplasm of head of pancreas
Meningioma	D32.0	Benign neoplasm of cerebral meninges
Lung mass	R91.8	Other nonspecific abnormal finding of lung field
Lower GI bleeding	K92.2	Gastrointestinal hemorrhage, unspecified
Dengue fever	A90	Dengue fever [classical dengue]
Pneumonia - moderate risk	J18.9	Pneumonia, unspecified organism
Diffuse colloid goiter	E04.2	Nontoxic multinodular goiter
Adenocarcinoma of sigmoid colon	C18.7	Malignant neoplasm of sigmoid colon
B-cell lymphoma	C85.1	
SLE glomerulonephritis syndrome	M32.14	Glomerular disease in systemic lupus erythematosus
Breast carcinoma	C50.9	
Acute cholecystitis	K81.0	Acute cholecystitis
Endometrial cancer	C54.1	Malignant neoplasm of endometrium
Nephrolithiasis	N20.0	Calculus of kidney
Chronic leukemia with failed remission	C91.1	
Hamartoma	D18.0	
Mixed germ cell tumor	C62.90	Malignant neoplasm of unspecified testis, unspecified whether descended or undescended
Squamous cell carcinoma	C44.99	Other specified malignant neoplasm of skin, unspecified
Malignant phyllodes tumor of breast	C50.9	
Acute lymphoblastic leukemia (ALL) in adult	C91.0	
Extranodal lymphoma	C85.1	
Gall stone	K80.20	Calculus of gallbladder without cholecystitis without obstruction
Infected wound	T81.4XXA	
Diabetes mellitus	E11.9	Type 2 diabetes mellitus without complications
Appendicitis, acu...	K35.80	Unspecified acute appendicitis
Acute lymphoblastic leukemia (ALL)	C91.0	
Acute myeloid leukemia	C92.0	
Breast cancer	C50.9	
Germ cell tumor	C62.90	Malignant neoplasm of unspecified testis, unspecified whether descended or undescended
Malignant neoplasm metastatic to brain	C79.31	Secondary malignant neoplasm of brain
Colon cancer	C18.9	Malignant neoplasm of colon, unspecified
Squamous cell carcinoma of oropharynx	C10.9	Malignant neoplasm of oropharynx, unspecified
Diverticulitis, colon	K57.32	Diverticulitis of large intestine without perforation or abscess without bleeding
Gastroenteritis	A09	Infectious gastroenteritis and colitis, unspecified
Diffuse large B-cell lymphoma	C83.3	
NASOPHARYNGEAL CARCINOMA STAGE IVA (cT4N3M0) with Intracranial Extension	C11.9	Malignant neoplasm of nasopharynx, unspecified
Cervical strain	S13.4XXA	Sprain of ligaments of cervical spine, initial encounter
GO, Endometrial adenocarcinoma, FIGO grade 1, Multiple myoma nodules (FIGO Grade 4), Hypertension, T2DM, Dyslipi...	C54.1	Malignant neoplasm of endometrium
